,Fermi.name,Spectral.Index,Radio.flux.mJy.,flux_density,curve_significance,flux_100_300_mev,flux_0p3_1_gev,flux_10_100_gev,variability_index,Optical.Class
1,3FGL J0002.2-4152,2.0889,13.2,7.32E-14,0.2,5.31E-09,5.66E-10,2.59E-11,56.351055, bll 
2,3FGL J0003.2-5246,1.8952,65.3,2.00E-14,0.909,6.58E-09,8.27E-13,2.98E-11,45.280437, fsrq 
3,3FGL J0017.2-0643,2.1162,93.9766,1.11E-13,0.948,5.85E-10,6.23E-10,1.05E-11,37.389572, fsrq 
4,3FGL J0019.1-5645,2.3909,60.6,3.25E-13,0.525,9.93E-09,6.21E-10,3.07E-11,62.856304, fsrq 
5,3FGL J0028.6+7507,2.3415,81.0955,5.04E-13,0.407,1.06E-08,1.89E-09,3.37E-12,37.735912, bll 
6,3FGL J0030.2-1646,1.6472,9.5264,1.58E-14,1.326,9.87E-13,6.05E-15,4.79E-11,64.297729, bll 
7,3FGL J0030.7-0209,2.3781,297,2.84E-12,3.137,1.46E-08,3.93E-09,1.45E-15,350.862701, bll 
8,3FGL J0031.3+0724,1.8239,12.1961,1.21E-14,1.06,7.64E-10,1.48E-11,4.38E-11,33.016853, bll 
9,3FGL J0039.0-2218,1.7154,117.1528,8.01E-15,2.687,6.31E-12,3.46E-10,2.07E-11,36.569088, bll 
10,3FGL J0039.1+4330,1.9629,8.1895,4.45E-14,1.853,2.93E-09,3.44E-10,2.73E-11,35.432049, bll 
11,3FGL J0040.3+4049,1.1323,48.1528,4.22E-16,1.377,2.09E-09,3.31E-10,3.75E-11,30.274111, fsrq 
12,3FGL J0040.5-2339,1.9462,53.675,2.11E-14,1.383,4.22E-12,5.94E-10,2.73E-11,49.248844, fsrq 
13,3FGL J0043.5-0444,1.7346,29.8202,6.76E-15,0.023,2.99E-09,1.88E-10,4.25E-11,40.311771, bll 
14,3FGL J0043.7-1117,1.5937,24.9304,8.91E-15,2.115,8.09E-10,5.88E-14,4.11E-11,27.655502, bll 
15,3FGL J0045.2-3704,2.5428,329.8367,4.80E-12,0.526,1.43E-08,2.96E-09,7.38E-12,173.746887, bll 
16,3FGL J0049.4-4149,2.1545,-999,5.14E-14,0.653,5.21E-09,8.59E-10,3.28E-11,31.808268, bll 
17,3FGL J0049.4-5401,2.1434,196.1,9.70E-14,0.142,4.29E-09,7.66E-10,2.75E-11,44.965485, bll 
18,3FGL J0050.0-4458,2.5279,336,9.49E-13,0.547,5.38E-09,8.68E-10,1.52E-15,68.526154, bll 
19,3FGL J0051.2-6241,1.6632,43.2,8.44E-14,1.834,5.62E-09,1.14E-09,2.11E-10,50.181931, bll 
20,3FGL J0055.2-1213,2.3968,263.1171,3.42E-13,0.604,4.09E-09,1.24E-09,1.49E-11,68.791267, fsrq 
21,3FGL J0103.7+1323,1.9837,51.9748,6.38E-14,2.436,1.91E-09,2.69E-10,1.81E-11,52.766998, fsrq 
22,3FGL J0107.0-1208,2.1802,59.9279,1.14E-13,0.964,3.97E-09,7.10E-10,8.00E-12,32.686623, bll 
23,3FGL J0116.2-2744,2.0225,17.2735,4.28E-14,1.034,7.44E-11,6.90E-10,2.80E-11,40.398945, fsrq 
24,3FGL J0121.7+5154,1.9841,8.4692,3.93E-14,0.437,5.14E-09,5.38E-10,2.44E-11,38.558067, bll 
25,3FGL J0127.2+0325,1.8993,16.1413,1.61E-13,1.603,7.58E-10,1.65E-09,7.50E-11,49.553379, bll 
26,3FGL J0132.5-0802,1.7529,307.5772,1.37E-14,1.681,1.17E-12,9.86E-13,3.76E-11,32.906197, bll 
27,3FGL J0133.2-5159,2.6276,1198,8.34E-13,0.722,8.84E-09,8.38E-10,1.69E-11,47.947124, bll 
28,3FGL J0133.3+4324,2.301,150.9697,2.50E-13,1.617,2.68E-09,1.67E-09,1.01E-11,52.496712, fsrq 
29,3FGL J0134.5+2638,1.9911,30.5724,1.78E-13,3.036,9.04E-10,1.57E-09,4.10E-11,58.011723, bll 
30,3FGL J0139.9+8735,1.8912,11.5591,1.47E-14,1.268,5.33E-09,1.06E-10,4.55E-11,42.032043, fsrq 
31,3FGL J0145.6+8600,2.5189,96.0107,6.81E-13,1.262,4.80E-09,9.63E-10,8.67E-12,34.799686, bll 
32,3FGL J0146.4-6746,2.3907,36.1,4.20E-13,0.465,5.92E-09,1.41E-09,1.61E-11,41.259457, fsrq 
33,3FGL J0147.0-5204,2.1996,329.3,1.83E-13,0.394,1.62E-09,1.17E-09,3.56E-11,49.567436, fsrq 
34,3FGL J0150.5-5447,2.1182,43.8,4.40E-14,0.144,6.54E-09,2.18E-10,1.11E-11,43.944576, bll 
35,3FGL J0151.0+0537,2.3592,175.8585,1.95E-13,0.62,6.83E-09,5.49E-10,1.57E-11,39.784008, bll 
36,3FGL J0152.2+3707,2.4065,333.9486,4.61E-13,0.864,3.64E-09,1.29E-09,1.06E-11,48.186256, fsrq 
37,3FGL J0156.3+3913,2.4952,159.9837,2.49E-12,0.045,1.46E-08,2.86E-09,5.93E-16,120.271088, fsrq 
38,3FGL J0156.9-4742,2.0091,28.7,1.35E-14,0.242,7.93E-10,8.19E-10,3.11E-11,31.205185, bll 
39,3FGL J0200.9-6635,2.3306,172.3,2.86E-13,0.378,5.95E-09,1.41E-09,1.72E-11,68.8881, bll 
40,3FGL J0203.1-0227,2.3126,68.098,2.65E-13,0.25,3.90E-09,9.12E-10,2.76E-12,47.286785, fsrq 
41,3FGL J0204.2+2420,1.7924,196.4396,1.07E-14,0.815,1.82E-10,3.70E-10,4.70E-11,37.543396, fsrq 
42,3FGL J0205.0+1510,2.5301,4068.2229,3.60E-12,0.336,1.85E-08,3.39E-09,1.45E-11,107.055153, bll 
43,3FGL J0207.9-3846,2.5441,274.8132,1.54E-12,0.72,6.67E-09,1.64E-09,3.11E-12,54.380207, fsrq 
44,3FGL J0210.7-5101,2.1697,3371,5.93E-11,4.746,6.79E-08,1.82E-08,9.71E-11,1444.283813, bll 
45,3FGL J0211.2-0649,2.0995,22.2568,9.33E-14,1.331,1.18E-09,6.20E-10,2.41E-12,33.106552, bll 
46,3FGL J0213.1-2720,2.0887,49.0129,4.09E-14,0.392,1.23E-09,7.97E-10,2.59E-11,35.284737, bll 
47,3FGL J0214.7-5823,2.57,121.4,9.18E-13,0.896,7.14E-09,1.16E-09,1.43E-11,48.161674, bll 
48,3FGL J0216.1-7016,2.5651,54.2,1.10E-12,0.508,8.59E-09,1.43E-09,2.09E-11,49.52161, fsrq 
49,3FGL J0216.6-1019,2.3288,300,4.09E-13,1.974,4.55E-09,1.67E-09,3.28E-15,79.886894, bll 
50,3FGL J0218.9+3642,2.5757,129.9744,3.20E-12,2.57,2.50E-08,6.06E-09,7.48E-15,217.559525, fsrq 
51,3FGL J0219.0+2440,1.8572,49.9021,1.75E-14,0.662,3.55E-12,8.96E-10,3.16E-11,50.463455, bll 
52,3FGL J0224.1-7941,2.2289,58.5,1.73E-13,0.262,7.50E-09,8.61E-10,1.80E-11,57.058727, fsrq 
53,3FGL J0225.2-2602,2.6635,115.132,1.06E-11,1.848,2.10E-08,3.70E-09,1.18E-15,280.535095, fsrq 
54,3FGL J0226.5-4442,1.9547,11.6,8.53E-14,1.585,5.11E-09,1.39E-09,5.96E-11,53.152538, bll 
55,3FGL J0228.0+2248,2.1206,46.1687,2.58E-13,1.845,4.96E-09,1.55E-09,1.14E-11,101.456253, fsrq 
56,3FGL J0228.7-3106,2.1404,98.1253,5.35E-14,0.494,2.02E-09,4.68E-10,1.99E-11,34.773243, fsrq 
57,3FGL J0232.9+2606,2.0864,98.3348,3.56E-14,1.587,1.94E-09,4.50E-10,1.67E-11,33.881287, bll 
58,3FGL J0244.4-8224,2.679,61.9,2.86E-12,0.215,1.26E-08,8.71E-10,7.92E-15,52.222866, bll 
59,3FGL J0249.1+8438,2.1467,160.0711,1.06E-13,0.063,5.09E-09,1.70E-09,3.01E-11,53.400581, bll 
60,3FGL J0253.5+3216,2.0523,80.6524,1.05E-13,0.22,7.57E-09,1.54E-09,8.77E-11,185.039368, bll 
61,3FGL J0255.8+0532,2.0697,103.8938,4.80E-14,1.32,2.31E-09,9.61E-10,1.42E-11,39.961754, bll 
62,3FGL J0256.3+0335,1.8961,313.8761,1.73E-14,0.232,2.58E-09,1.10E-09,2.98E-11,39.867241, fsrq 
63,3FGL J0301.4-1652,2.1505,170.4918,1.67E-13,2.632,2.26E-11,1.17E-09,9.21E-12,56.923004, fsrq 
64,3FGL J0301.8-2721,2.1578,52.7341,7.42E-14,1.255,1.63E-10,4.87E-10,9.25E-12,27.028362, bll 
65,3FGL J0301.8-7157,2.7657,791.7,7.14E-12,0.155,1.38E-08,2.25E-09,2.93E-15,110.479439, bll 
66,3FGL J0303.0+3150,2.3149,439.433,3.16E-13,2.215,3.40E-09,1.40E-09,1.00E-15,40.464741, bll 
67,3FGL J0305.2-1607,1.6885,917.6804,7.07E-15,2.098,2.71E-12,6.34E-10,5.05E-11,39.802422, fsrq 
68,3FGL J0310.4-5015,1.7536,12.6,1.82E-14,2.469,7.98E-10,9.36E-11,5.08E-11,69.372192, bll 
69,3FGL J0318.7+2134,1.8373,65.7512,5.83E-14,0.322,2.84E-09,1.93E-09,1.45E-10,98.323616, fsrq 
70,3FGL J0326.0-1842,2.2055,113.8001,6.55E-14,1.25,5.51E-09,8.23E-10,1.98E-11,43.239113, bll 
71,3FGL J0331.3-6155,2.0765,381.8,2.14E-13,1.643,3.86E-09,1.57E-09,2.75E-11,61.945957, bll 
72,3FGL J0333.4+4003,2.2377,66.1013,1.36E-13,2.596,1.15E-13,8.18E-10,4.56E-15,44.946995, bll 
73,3FGL J0333.4+7853,2.1976,102.3396,2.57E-13,0.595,5.42E-09,2.15E-09,3.62E-11,48.209705, bll 
74,3FGL J0338.5+1303,1.6946,15.6876,2.69E-14,1.811,1.65E-11,7.48E-10,1.03E-10,58.875557, bll 
75,3FGL J0339.2-1738,1.9281,170.7508,8.32E-14,1.77,2.07E-09,1.77E-09,5.29E-11,52.292686, bll 
76,3FGL J0342.6-3006,1.8456,156.6261,1.11E-14,0.496,1.65E-14,4.44E-10,1.68E-11,36.916744, fsrq 
77,3FGL J0343.3-6443,2.154,120.5,5.31E-13,0.705,4.55E-09,2.82E-09,3.54E-11,85.632515, bll 
78,3FGL J0343.3+3622,2.4264,513.7675,6.75E-13,0.13,1.05E-08,1.64E-09,2.51E-11,32.590424, fsrq 
79,3FGL J0356.3-6948,2.5296,149.3,1.08E-12,0.092,6.16E-09,7.60E-10,6.47E-12,44.32814, fsrq 
80,3FGL J0357.1+2325,2.4114,176.6945,4.11E-13,0.614,8.72E-09,1.85E-09,2.77E-11,40.704563, fsrq 
81,3FGL J0358.7+0633,2.6332,21.9009,6.02E-12,1.56,1.76E-08,4.06E-09,3.98E-15,111.187881, fsrq 
82,3FGL J0418.0-0251,2.4607,95.1811,2.37E-12,2.7,2.14E-08,3.45E-09,9.10E-16,122.779778, bll 
83,3FGL J0426.3+6827,2.3778,392.4643,5.67E-13,0.33,9.79E-09,2.45E-09,2.08E-11,48.955067, fsrq 
84,3FGL J0426.6+0459,2.5553,1326.1824,2.72E-12,1.018,1.84E-08,3.62E-09,1.11E-11,64.89135, bll 
85,3FGL J0427.3-3900,2.672,141.9437,8.24E-12,2.025,2.89E-08,8.09E-09,5.56E-15,178.871246, fsrq 
86,3FGL J0429.8+2843,1.9632,69.1239,4.24E-14,3.085,3.47E-09,2.11E-11,5.08E-11,59.631634, fsrq 
87,3FGL J0430.5+1655,2.4016,42.2894,1.16E-12,0.576,1.95E-08,4.09E-09,6.28E-11,67.032265, bll 
88,3FGL J0431.6+7403,1.9884,30.5188,8.11E-14,0.129,1.98E-09,1.56E-09,6.28E-11,40.922939, bll 
89,3FGL J0433.1+3228,1.9683,15.1885,2.92E-14,0.653,2.69E-09,5.94E-10,6.01E-11,50.642941, bll 
90,3FGL J0433.7-6028,2.5091,415.3,4.78E-12,1.865,1.19E-08,4.47E-09,7.42E-15,306.484589, fsrq 
91,3FGL J0434.0-5726,1.9987,14,1.09E-13,0.949,4.00E-09,6.35E-10,5.37E-11,62.955688, bll 
92,3FGL J0434.4-2341,2.3456,49.5695,6.55E-13,1.922,6.66E-09,2.22E-09,1.34E-11,51.177917, fsrq 
93,3FGL J0434.6+0921,2.1147,118.4948,1.38E-13,0.13,5.95E-09,8.99E-10,1.94E-11,49.094139, bll 
94,3FGL J0439.6-3159,1.7706,10.9377,1.29E-14,0.204,2.91E-10,4.16E-14,5.22E-11,36.463741, bll 
95,3FGL J0439.9-1859,1.9193,60.7771,6.44E-14,0.267,7.54E-09,1.12E-09,5.03E-11,60.32584, bll 
96,3FGL J0453.2+6321,2.3469,20.2621,5.97E-13,1.77,1.70E-08,2.54E-09,5.13E-11,70.864334, bll 
97,3FGL J0456.3+2702,2.4602,147.6212,5.05E-12,2.958,2.27E-08,7.24E-09,1.25E-11,97.495438, bll 
98,3FGL J0505.5-1558,2.102,483.2616,9.10E-14,0.595,2.49E-09,1.15E-09,3.25E-11,38.45467, fsrq 
99,3FGL J0506.9-5435,1.603,18,2.68E-14,2.102,5.75E-09,1.51E-10,1.12E-10,43.189434, bll 
100,3FGL J0508.2-1936,2.3747,65.7559,3.80E-13,2.205,5.14E-10,9.95E-10,2.06E-15,44.338326, bll 
101,3FGL J0509.7-6418,2.0002,24.7,5.10E-14,0.664,7.33E-09,8.90E-10,6.53E-11,52.283237, bll 
102,3FGL J0515.5-0123,1.7548,98.5881,8.55E-15,2.12,1.42E-11,2.75E-11,2.00E-11,33.332645, fsrq 
103,3FGL J0521.7+0103,1.6986,24.6182,8.60E-15,1.274,4.00E-12,2.25E-10,6.15E-11,50.909836, bll 
104,3FGL J0521.9-3847,2.6267,157.3694,1.16E-12,0.046,1.47E-08,6.64E-10,1.26E-11,98.704079, fsrq 
105,3FGL J0522.9-3628,2.3412,15620,1.15E-10,2.779,9.14E-08,2.41E-08,1.35E-10,678.857849, fsrq 
106,3FGL J0525.6-6013,1.7262,20.8,3.08E-14,3.043,1.18E-09,6.44E-10,7.35E-11,58.428936, fsrq 
107,3FGL J0525.8-2014,2.0627,230.5519,8.11E-14,1.022,1.65E-09,7.60E-10,1.24E-11,51.16473, bll 
108,3FGL J0526.6+6321,2.5399,82.0436,1.74E-12,2.121,9.30E-09,1.55E-09,2.63E-16,50.702606, bll 
109,3FGL J0529.1+0933,2.3168,30.7214,4.21E-13,0.501,1.17E-08,3.42E-09,6.67E-11,59.85601, bll 
110,3FGL J0529.8-7242,2.475,275.8,1.02E-12,0.192,1.57E-08,2.88E-09,1.57E-11,94.29129, bll 
111,3FGL J0532.0-4827,2.0313,161.7,1.58E-11,4.121,5.72E-08,2.32E-08,3.56E-10,2337.931641, bll 
112,3FGL J0533.0-3939,2.4877,163.8,9.02E-13,0.086,4.87E-09,2.24E-09,1.52E-11,55.417564, bll 
113,3FGL J0535.6-2749,2.415,180.7637,1.80E-13,0.492,7.67E-09,7.58E-10,1.40E-11,40.33173, bll 
114,3FGL J0538.4-3909,2.0408,24.3845,4.37E-14,0.078,3.92E-09,4.79E-10,2.75E-11,52.741798, bll 
115,3FGL J0553.5-2036,1.9852,233.1905,1.71E-13,3.193,2.10E-12,1.07E-09,2.34E-11,62.652023, fsrq 
116,3FGL J0602.2+5314,2.0334,39.5313,5.68E-14,0.11,1.19E-08,4.82E-10,4.76E-11,52.397324, bll 
117,3FGL J0602.8-4016,1.9229,74.6,1.14E-13,1.869,1.81E-09,1.55E-09,9.50E-11,49.640709, fsrq 
118,3FGL J0606.4-4729,2.3274,286.3,2.27E-13,1.206,8.90E-09,4.98E-10,2.43E-11,36.574783, fsrq 
119,3FGL J0611.2+4323,2.1679,44.0969,1.04E-13,1.395,1.36E-08,1.01E-09,5.15E-11,42.99509, fsrq 
120,3FGL J0626.6-4259,1.7398,14.1,1.67E-14,3.659,2.01E-09,3.32E-10,6.04E-11,48.268463, fsrq 
121,3FGL J0627.9-1517,2.7235,43.3834,2.07E-12,1.857,1.06E-08,2.59E-09,3.24E-11,52.660049, bll 
122,3FGL J0630.3+6906,2.393,43.77,2.45E-13,0.271,3.09E-09,7.36E-10,4.06E-12,28.436813, bll 
123,3FGL J0643.4-5358,2.4436,51.1,5.85E-13,0.306,7.95E-09,7.77E-10,6.69E-12,67.54599, fsrq 
124,3FGL J0644.3-6713,2.0952,222.8,4.20E-12,2.419,3.51E-08,1.08E-08,1.90E-10,559.809937, bll 
125,3FGL J0644.6-2853,2.1112,53.4674,5.41E-14,0.693,6.29E-09,5.39E-11,7.76E-12,50.607227, fsrq 
126,3FGL J0647.0-5134,2.1894,70.8,1.26E-13,1.179,6.08E-09,8.96E-10,4.03E-11,37.540962, fsrq 
127,3FGL J0647.1-4415,2.3445,48.5,1.71E-13,1.12,7.97E-09,3.98E-10,5.58E-12,34.662807, bll 
128,3FGL J0647.6-6058,2.3367,110.3,1.55E-12,0.991,1.01E-08,3.57E-09,2.49E-11,81.92495, fsrq 
129,3FGL J0649.6-3138,1.7287,7.53,2.00E-14,1.261,1.94E-09,9.58E-11,8.04E-11,46.53397, bll 
130,3FGL J0651.3+4014,2.1201,32.2045,9.82E-14,0.069,2.89E-09,1.45E-09,4.16E-11,54.398518, fsrq 
131,3FGL J0652.0-4808,2.0442,71.7,2.90E-14,2.305,9.34E-09,6.88E-10,4.78E-11,37.98534, bll 
132,3FGL J0653.6+2817,2.2499,33.5764,4.42E-13,0.151,1.06E-08,1.43E-09,2.23E-11,55.942528, fsrq 
133,3FGL J0700.3-6310,1.9936,55.7,2.55E-14,1.417,5.88E-09,3.13E-10,1.64E-11,60.926304, bll 
134,3FGL J0703.4-3914,2.2879,37.1047,6.45E-13,2.734,6.77E-09,2.44E-09,1.20E-11,60.4907, bll 
135,3FGL J0706.1-4849,2.412,192.8,1.09E-12,1.048,1.05E-08,3.85E-09,1.87E-11,55.753487, bll 
136,3FGL J0708.9+2239,2.0765,40.6752,1.23E-13,1.724,1.12E-09,1.08E-09,1.54E-11,56.595562, fsrq 
137,3FGL J0712.2-6436,2.3833,1399,4.13E-13,0.18,3.89E-09,1.38E-09,1.51E-15,42.972759, bll 
138,3FGL J0720.0-4010,2.2282,64.9,1.62E-13,0.76,1.15E-08,1.55E-09,1.15E-11,35.512005, bll 
139,3FGL J0723.7+2050,2.4001,43.3682,3.98E-13,1.094,8.35E-09,1.72E-09,1.77E-11,53.225887, fsrq 
140,3FGL J0728.0+4828,2.3711,91.6116,1.69E-13,0.19,5.75E-09,5.01E-10,6.14E-12,36.693455, fsrq 
141,3FGL J0730.5-6606,1.7891,81.3,2.44E-14,0.377,4.81E-09,5.18E-10,6.54E-11,41.116669, fsrq 
142,3FGL J0732.2-4638,2.3539,1403,6.89E-12,5.36,1.05E-08,4.72E-09,1.62E-15,104.660896, fsrq 
143,3FGL J0734.3-7709,2.2903,211.6,2.63E-12,2.193,1.30E-08,6.40E-09,3.62E-11,124.028999, fsrq 
144,3FGL J0742.4-8133c,1.4639,17.6,9.47E-16,0.939,2.58E-09,1.48E-10,4.66E-11,25.343918, fsrq 
145,3FGL J0746.6-4756,2.2543,106.7,6.56E-13,2.051,2.29E-08,3.42E-09,1.05E-10,72.011444, bll 
146,3FGL J0746.9+8511,1.7873,11.4078,1.96E-14,0.089,5.62E-09,6.24E-10,6.22E-11,37.230492, fsrq 
147,3FGL J0748.5+7910,2.3437,181.5741,3.04E-13,2.97,6.62E-10,1.18E-09,6.62E-16,64.073914, fsrq 
148,3FGL J0748.8+4929,2.3391,35.4111,3.55E-13,1.422,3.58E-09,1.25E-09,1.08E-12,40.848286, fsrq 
149,3FGL J0749.4+1059,2.203,199.0467,1.71E-13,1.367,5.72E-09,9.18E-10,2.53E-11,63.405533, fsrq 
150,3FGL J0756.3-6433,2.217,13,2.09E-13,0.621,7.27E-09,1.66E-09,3.57E-11,44.593407, bll 
151,3FGL J0803.3-0339,1.9963,232.187,2.78E-13,1.352,6.69E-09,2.19E-09,6.84E-11,69.530113, fsrq 
152,3FGL J0804.4+0418,2.5663,318.6829,1.25E-12,0.928,6.42E-09,1.89E-09,1.49E-11,60.128811, bll 
153,3FGL J0805.0-0622,1.895,20.9715,2.78E-14,0.906,1.16E-08,3.55E-10,8.95E-11,56.809814, fsrq 
154,3FGL J0807.1+7744,2.4361,217.0468,6.76E-13,0.446,9.78E-09,1.39E-09,1.22E-11,85.491203, bll 
155,3FGL J0813.3+6509,2.1966,30.991,3.98E-14,1.28,5.75E-09,4.83E-10,7.59E-12,39.06979, fsrq 
156,3FGL J0825.4-0213,2.4012,106.175,4.66E-13,0.908,6.46E-09,1.01E-09,6.73E-12,23.331022, fsrq 
157,3FGL J0827.2-0711,2.0672,174.1393,9.95E-14,0.984,4.29E-09,1.50E-09,5.32E-11,39.531399, fsrq 
158,3FGL J0829.6-1137,1.8896,51.1875,2.13E-14,0.263,1.51E-09,9.92E-10,5.54E-11,58.180851, bll 
159,3FGL J0830.3-5855,2.6083,44.7,5.19E-12,2.13,2.29E-08,2.99E-09,1.68E-15,74.47731, bll 
160,3FGL J0836.3+2143,2.5657,133.0043,7.90E-13,0.959,7.78E-09,1.21E-09,1.36E-11,71.037605, fsrq 
161,3FGL J0842.0-6055,2.328,775.9,1.88E-12,2.928,1.67E-08,4.19E-09,1.17E-11,84.468239, bll 
162,3FGL J0855.2-0718,2.565,1157.309,1.44E-12,2.177,6.76E-09,1.91E-09,2.09E-14,43.202621, bll 
163,3FGL J0858.1-1951,2.4627,1226.4327,2.91E-12,2.042,1.62E-08,3.10E-09,2.20E-11,140.021515, bll 
164,3FGL J0904.3+4240,2.476,1247.9727,9.01E-13,1.49,6.21E-09,2.33E-09,1.31E-11,50.747223, bll 
165,3FGL J0912.6-2757,2.6972,256.9758,4.53E-12,1.691,1.64E-08,1.61E-09,2.10E-11,51.375603, bll 
166,3FGL J0915.0+5844,2.4817,752.946,4.28E-13,0.396,2.46E-09,5.66E-10,4.32E-12,46.809624, bll 
167,3FGL J0917.3-0344,1.7637,32.2131,1.12E-14,0.371,3.50E-09,4.15E-10,5.57E-11,44.86631, bll 
168,3FGL J0921.0-2258,1.5532,14.3819,2.55E-15,2.776,2.46E-09,4.53E-11,4.98E-11,32.393566, fsrq 
169,3FGL J0923.1+3853,2.752,375.4117,4.20E-12,1.452,2.01E-08,1.83E-09,1.64E-15,74.233421, bll 
170,3FGL J0928.9-3530,2.5304,23.5913,3.34E-12,1.058,2.17E-08,2.17E-09,1.36E-11,37.595142, bll 
171,3FGL J0939.2-1732,2.2697,263.7238,7.48E-13,2.383,7.51E-09,2.34E-09,6.53E-12,97.954216, bll 
172,3FGL J0939.9-2831,2.4714,382.139,2.69E-12,0.895,1.68E-08,2.27E-09,2.57E-15,131.702637, bll 
173,3FGL J0947.1-2542,1.95,42.0426,1.30E-13,1.494,2.72E-09,1.44E-09,5.70E-11,48.280251, bll 
174,3FGL J0953.1-7657c,1.912,23.9,2.15E-14,0.591,1.41E-11,4.70E-10,3.66E-11,36.859123, bll 
175,3FGL J0958.4-6752,2.207,39.5,1.18E-13,1.296,1.05E-08,8.34E-10,2.97E-11,41.888287, fsrq 
176,3FGL J0958.6-2447,2.2424,170.08,3.24E-13,1.095,5.49E-09,1.61E-09,2.82E-11,48.663708, fsrq 
177,3FGL J1003.6+2608,2.2919,440.325,1.52E-13,0.581,5.11E-09,1.08E-09,6.83E-12,41.27948, bll 
178,3FGL J1007.8+0026,2.0891,485.5625,9.87E-14,1.451,1.42E-13,1.08E-09,1.58E-11,33.208729, fsrq 
179,3FGL J1014.2+4115,2.4237,45.4568,4.50E-13,0.638,1.40E-09,1.12E-09,6.28E-12,47.580589, bll 
180,3FGL J1016.0-0635,2.5441,39.7535,1.33E-12,2.225,1.63E-09,1.67E-09,2.45E-16,49.485798, fsrq 
181,3FGL J1016.1+5555,2.5253,133.0945,1.37E-12,1.017,8.08E-09,1.82E-09,8.61E-16,67.378792, fsrq 
182,3FGL J1021.8+8023,2.3267,200.0152,4.25E-13,2.307,9.95E-09,1.94E-09,2.03E-15,34.694729, bll 
183,3FGL J1022.3-4234,2.336,91.4,1.94E-13,0.491,9.21E-09,1.04E-09,2.24E-12,44.251255, fsrq 
184,3FGL J1024.8+0105,2.5492,134.9426,2.33E-12,2.667,7.72E-09,2.55E-09,4.52E-12,40.785233, bll 
185,3FGL J1028.0+1829,2.2365,45.4617,1.45E-13,0.197,2.34E-09,1.12E-09,2.54E-11,46.873905, bll 
186,3FGL J1030.4-2030,1.8895,11.5,7.26E-14,0.921,4.16E-09,1.06E-09,6.48E-11,52.632896, fsrq 
187,3FGL J1031.0+7440,2.1466,209.4927,3.87E-14,0,2.71E-09,1.67E-09,2.16E-11,44.16156, bll 
188,3FGL J1035.2+5545,2.9433,130.175,5.98E-12,0.07,1.06E-08,1.43E-09,2.94E-13,67.828217, bll 
189,3FGL J1040.4+0615,2.2263,34.6678,2.02E-12,2.215,1.67E-08,4.67E-09,3.85E-11,124.921471, bll 
190,3FGL J1040.8+1342,1.76,5.6027,9.45E-15,1.598,1.28E-11,3.88E-10,3.36E-11,35.638515, bll 
191,3FGL J1040.9-1205,2.1069,14.1601,6.38E-14,1.482,4.49E-09,2.97E-10,1.48E-11,61.126541, bll 
192,3FGL J1042.0-0557,1.9437,83.7099,1.47E-14,3.161,6.68E-09,5.74E-10,2.44E-11,41.478924, fsrq 
193,3FGL J1042.1-4126,1.9761,20.4,1.54E-14,0.183,3.38E-09,5.69E-10,1.81E-11,44.610466, fsrq 
194,3FGL J1049.8+1425,2.3323,131.32,4.41E-13,1.39,1.11E-08,1.41E-09,9.91E-16,85.550903, bll 
195,3FGL J1052.8-3741,1.9962,63.5263,3.80E-14,0.18,6.44E-09,5.65E-10,4.53E-11,35.396667, fsrq 
196,3FGL J1106.4-3643,2.2921,52.5985,9.77E-13,0.306,1.14E-08,2.42E-09,1.45E-11,62.556328, fsrq 
197,3FGL J1109.4-4815,2.4945,369,1.28E-12,2.013,1.54E-08,2.44E-09,7.90E-12,44.546406, fsrq 
198,3FGL J1125.0-2101,1.7844,36.4053,2.30E-14,0.982,4.02E-09,3.95E-11,6.47E-11,42.352879, fsrq 
199,3FGL J1126.7-3834,2.2598,530.3622,2.87E-13,1.561,2.08E-09,1.89E-09,2.94E-11,48.112301, bll 
200,3FGL J1138.2+4905,2.8505,43.0451,3.98E-12,0.017,9.03E-09,7.66E-10,1.01E-15,57.282131, bll 
201,3FGL J1141.2+6805,1.6111,22.5303,5.48E-15,2.076,1.96E-11,9.96E-15,4.23E-11,46.34198, fsrq 
202,3FGL J1141.6-1406,2.1757,59.8999,1.69E-13,0.605,7.26E-09,1.51E-09,2.98E-11,43.067486, bll 
203,3FGL J1153.7-2555,2.0148,84.446,2.96E-14,0.814,6.21E-11,9.58E-10,9.52E-12,40.120255, fsrq 
