,Fermi.name,Spectral.Index,Radio.flux.mJy.,flux_density,curve_significance,flux_100_300_mev,flux_0p3_1_gev,flux_10_100_gev,variability_index,Optical.Class
250,3FGL J1356.3-4029,2.0602,76,5.06E-14,0.574,7.34E-09,9.12E-10,6.58E-11,44.413731, bll 
251,3FGL J1406.0-2508,1.8929,30.8318,5.70E-14,1.011,1.51E-09,1.12E-09,4.67E-11,45.721344, bll 
252,3FGL J1407.7-4256,2.1371,261,1.65E-13,0.3,5.89E-09,1.57E-09,1.26E-11,47.226334, bll 
253,3FGL J1412.0+5249,2.5622,847.6057,3.45E-13,1.977,5.46E-09,9.64E-10,2.45E-11,47.647064, bll 
254,3FGL J1416.0+1325,2.3634,1092.1969,8.84E-13,0.526,9.00E-09,1.83E-09,1.72E-11,83.268059, bll 
255,3FGL J1418.5+3543,2.0584,61.2255,1.78E-12,2.269,2.02E-08,6.06E-09,1.32E-10,905.941284, fsrq 
256,3FGL J1418.9+7731,1.9063,8.2626,5.57E-14,2.301,5.17E-09,6.92E-10,4.18E-11,62.02573, fsrq 
257,3FGL J1419.5-0836,2.2705,343,1.46E-12,3.37,9.19E-09,4.52E-09,2.49E-11,190.614594, bll 
258,3FGL J1421.0-1122,2.0642,48.3791,9.37E-14,1.791,1.05E-12,1.09E-09,1.51E-11,71.082031, bll 
259,3FGL J1427.8-3215,2.036,12.1982,2.56E-14,0.806,6.12E-12,7.73E-10,3.07E-11,36.078289, fsrq 
260,3FGL J1434.6+6640,1.5166,9.9383,2.47E-15,0.364,6.72E-11,1.14E-10,3.27E-11,39.07428, bll 
261,3FGL J1440.0-3955,1.8638,19.9333,1.07E-14,0.113,1.94E-11,1.90E-09,5.68E-11,40.749016, fsrq 
262,3FGL J1446.8-1831,1.7229,25.6702,7.01E-15,1.83,9.34E-11,2.76E-10,4.57E-11,26.001295, bll 
263,3FGL J1507.6-3710,2.1306,78.9792,9.80E-14,1.246,1.06E-09,1.30E-09,2.26E-11,40.795288, bll 
264,3FGL J1511.8-0513,2.0341,17.5425,7.24E-14,0.977,1.50E-08,1.34E-09,7.38E-11,47.512699, bll 
265,3FGL J1512.2-2255,1.9067,19.2719,6.07E-14,1.055,5.42E-12,1.69E-09,7.12E-11,40.866325, bll 
266,3FGL J1512.3+8005,2.5132,114.4712,4.64E-13,0.986,8.68E-09,6.34E-10,8.76E-12,62.622524, bll 
267,3FGL J1514.8-3623,2.4051,471,6.36E-13,2.301,6.29E-10,2.40E-09,3.11E-12,44.909229, bll 
268,3FGL J1518.0-2732,2.1326,564.7236,6.80E-13,0.879,1.70E-08,6.05E-09,1.09E-10,93.125153, fsrq 
269,3FGL J1532.7-1319,2.094,224.5698,3.33E-12,2.175,2.32E-08,1.09E-08,2.51E-10,1924.662476, bll 
270,3FGL J1536.6+8331,2.4811,118.7504,4.35E-13,0.409,4.28E-09,1.17E-09,9.20E-12,33.260048, bll 
271,3FGL J1537.8-8000,2.1864,69.5,5.58E-13,1.413,1.01E-08,2.89E-09,3.74E-11,80.478065, bll 
272,3FGL J1539.8-1128,2.0849,78.8463,5.17E-14,0.92,1.48E-08,1.32E-09,2.33E-11,40.898575, fsrq 
273,3FGL J1543.5+0451,1.9846,279.78,3.95E-14,0.257,7.64E-09,6.37E-10,4.94E-11,41.054214, fsrq 
274,3FGL J1547.1-2801,1.7077,47.4979,9.16E-15,2.336,4.83E-11,1.50E-13,3.55E-11,42.443832, fsrq 
275,3FGL J1549.5+1709,1.9162,79.8931,1.19E-14,0.562,4.84E-09,3.89E-10,3.49E-11,60.373749, bll 
276,3FGL J1549.7-0658,1.9238,13.0848,1.08E-13,0.381,3.37E-09,2.19E-09,1.18E-10,48.915646, fsrq 
